layer,median,low,high,rank,minus,plus
Haycock,22.837,22.79484043175312,22.878780316657828,3,0.04199999999999804,0.04178031665782811
pseudotachylyte,23.083,22.847498738453464,23.51869622200461,2,0.2359999999999971,0.4356962220046121
basal layers,23.475,23.06545889828407,23.80204640295162,1,0.41000000000000014,0.3270464029516198
