position,rank,unit,layer,age,2_sd
above slide,3,Haycock Mountain Tuff,Haycock,22.838,0.043
within slide,2,pseudotachylyte,pseudotachylyte,22.99,0.82
below slide,1,Osiris,Osiris,23.272,0.047
