age,layer,probability,rank
21.759999999999998,Haycock,0,4
21.759999999999998,pseudotachylyte,0.011108997038247108,3
21.759999999999998,andesite,2.544174390264084e-8,2
21.759999999999998,andesite,2.544174390264084e-8,2
21.759999999999998,basal layers,1.0279429601464972e-40,1
21.759999999999998,basal layers,1.0279429601464972e-40,1
21.759999999999998,basal layers,1.0279429601464972e-40,1
21.759999999999998,basal layers,1.0279429601464972e-40,1
21.76024602460246,Haycock,0,4
21.76024602460246,pseudotachylyte,0.011129011240093672,3
21.76024602460246,andesite,2.561819227488986e-8,2
21.76024602460246,andesite,2.561819227488986e-8,2
21.76024602460246,basal layers,1.0689908934323705e-40,1
21.76024602460246,basal layers,1.0689908934323705e-40,1
21.76024602460246,basal layers,1.0689908934323705e-40,1
21.76024602460246,basal layers,1.0689908934323705e-40,1
21.760492049204917,Haycock,0,4
21.760492049204917,pseudotachylyte,0.01114905748548112,3
21.760492049204917,andesite,2.5795829131576784e-8,2
21.760492049204917,andesite,2.5795829131576784e-8,2
21.760492049204917,basal layers,1.1116686442722784e-40,1
21.760492049204917,basal layers,1.1116686442722784e-40,1
21.760492049204917,basal layers,1.1116686442722784e-40,1
21.760492049204917,basal layers,1.1116686442722784e-40,1
21.760738073807378,Haycock,0,4
21.760738073807378,pseudotachylyte,0.011169135817679579,3
21.760738073807378,andesite,2.5974662226469595e-8,2
21.760738073807378,andesite,2.5974662226469595e-8,2
21.760738073807378,basal layers,1.1560405511829967e-40,1
21.760738073807378,basal layers,1.1560405511829967e-40,1
21.760738073807378,basal layers,1.1560405511829967e-40,1
21.760738073807378,basal layers,1.1560405511829967e-40,1
21.76098409840984,Haycock,0,4
21.76098409840984,pseudotachylyte,0.011189246280001596,3
21.76098409840984,andesite,2.6154699362166895e-8,2
21.76098409840984,andesite,2.6154699362166895e-8,2
21.76098409840984,basal layers,1.2021734775832175e-40,1
21.76098409840984,basal layers,1.2021734775832175e-40,1
21.76098409840984,basal layers,1.2021734775832175e-40,1
21.76098409840984,basal layers,1.2021734775832175e-40,1
21.7612301230123,Haycock,0,4
