position,rank,unit,layer,age,2_sd
above slide,3,Haycock Mountain Tuff,Haycock,22.838,0.043
within slide,2,pseudotachylyte,pseudotachylyte,22.99,0.82
below slide,1,Panguitch basal,basal layers,23.42,0.05
below slide,1,Haycock basal,basal layers,23.96,0.03
below slide,1,Haycock injectites,basal layers,24.08,0.12
below slide,1,Bear Valley,basal layers,24.07,0.03
